NASA	Kazaa Lite	1.043
Dictionary	Super Bowl	1.13
Guitar Tabs	Hotmail	1.13
Quiz	Amazon	1.217
XML	Vodafone	1.348
King	Jobs	1.522
Flowers	Food Network	1.609
Yahoo Maps	Zone Alarm	1.696
Horoscopes	Quotes	1.826
Las Vegas	Exchange Rates	1.913
Cars	Girls	2.043
Movies	News	2.435
Dogs	Disney	2.478
Quicken	PayPal	2.609
Dell	Best Buy	3.13
IMDB	Blockbuster	3.304
Eminem	Green Day	3.304
Weather Channel	News	3.435
E-Cards	Valentine Day	3.435
Free Music Downloads	iTunes	3.696
Tsunami	Weather	3.87
Delta Airlines	US Airways	4
Poems	Lyrics	4.087
Vodafone	O2	4.304
Firefox	Internet Explorer	4.391
