king	cabbage	0.023
professor	cucumber	0.031
noon	string	0.054
chord	smile	0.054
rooster	voyage	0.062
sugar	approach	0.088
stock	life	0.092
lad	wizard	0.092
monk	slave	0.092
stock	jaguar	0.092
delay	racism	0.119
drink	ear	0.131
stock	CD	0.131
holy	sex	0.162
stock	phone	0.162
production	hike	0.175
precedent	group	0.177
energy	secretary	0.181
month	hotel	0.181
stock	egg	0.181
forest	graveyard	0.185
cup	substance	0.192
possibility	girl	0.194
glass	magician	0.208
cemetery	woodland	0.208
cup	entity	0.215
Wednesday	news	0.222
direction	combination	0.225
reason	hypertension	0.231
problem	airport	0.238
sign	recess	0.238
cup	article	0.24
Arafat	Jackson	0.25
precedent	collection	0.25
listing	proximity	0.256
volunteer	motto	0.256
opera	industry	0.263
drink	mother	0.265
line	insurance	0.269
crane	implement	0.269
announcement	effort	0.275
precedent	cognition	0.281
media	gain	0.288
cup	artifact	0.292
Mars	water	0.294
peace	insurance	0.294
viewer	serial	0.297
prejudice	recognition	0.3
president	medal	0.3
drink	car	0.304
shore	woodland	0.308
coast	forest	0.315
century	nation	0.316
practice	institution	0.319
governor	interview	0.325
morality	importance	0.331
delay	news	0.331
money	operation	0.331
five	month	0.338
announcement	production	0.338
school	center	0.344
experience	music	0.347
seven	series	0.356
music	project	0.363
report	gain	0.363
cup	object	0.369
minority	peace	0.369
atmosphere	landscape	0.369
morality	marriage	0.369
peace	atmosphere	0.369
stock	live	0.373
population	development	0.375
architecture	century	0.378
precedent	information	0.385
situation	isolation	0.388
chance	credibility	0.388
profit	warning	0.388
media	trading	0.388
theater	history	0.391
development	issue	0.397
focus	life	0.406
start	year	0.406
consumer	confidence	0.413
deployment	departure	0.425
benchmark	index	0.425
attempt	peace	0.425
observation	architecture	0.438
coast	hill	0.438
food	rooster	0.442
lad	brother	0.446
start	match	0.447
board	recommendation	0.447
computer	news	0.447
life	term	0.45
image	surface	0.456
investigation	effort	0.459
smart	student	0.462
hospital	infrastructure	0.463
ministry	culture	0.469
word	similarity	0.475
peace	plan	0.475
consumer	energy	0.475
tiger	organism	0.477
situation	conclusion	0.481
space	chemistry	0.488
car	flight	0.494
street	children	0.494
journal	association	0.497
travel	activity	0.5
monk	oracle	0.5
cup	food	0.5
doctor	personnel	0.5
man	governor	0.525
glass	metal	0.556
psychology	discipline	0.558
tiger	fauna	0.562
lobster	wine	0.57
plane	car	0.577
smart	stupid	0.581
precedent	example	0.585
king	rook	0.592
cucumber	potato	0.592
precedent	antecedent	0.604
bread	butter	0.619
skin	eye	0.622
shower	thunderstorm	0.631
train	car	0.631
street	place	0.644
Japanese	American	0.65
professor	doctor	0.662
football	tennis	0.663
bishop	rabbi	0.669
psychology	science	0.671
television	radio	0.677
football	basketball	0.681
student	professor	0.681
tiger	mammal	0.685
cup	tableware	0.685
drink	eat	0.687
street	block	0.688
opera	performance	0.688
tiger	animal	0.7
doctor	nurse	0.7
tiger	carnivore	0.708
bird	cock	0.71
phone	equipment	0.713
museum	theater	0.719
jaguar	car	0.727
physics	chemistry	0.735
tiger	cat	0.735
bird	crane	0.738
jaguar	cat	0.742
media	radio	0.742
Mexico	Brazil	0.744
marathon	sprint	0.747
food	fruit	0.752
announcement	news	0.756
century	year	0.759
rock	jazz	0.759
dividend	payment	0.763
profit	loss	0.763
wood	forest	0.773
dollar	yen	0.778
lobster	food	0.781
cell	phone	0.781
aluminum	metal	0.783
life	death	0.788
liquid	water	0.789
tiger	feline	0.8
tiger	jaguar	0.8
planet	sun	0.802
psychology	psychiatry	0.808
planet	moon	0.808
Harvard	Yale	0.813
vodka	brandy	0.813
man	woman	0.83
seafood	food	0.834
championship	tournament	0.836
money	dollar	0.842
calculation	computation	0.844
planet	star	0.845
vodka	gin	0.846
murder	manslaughter	0.853
king	queen	0.858
mile	kilometer	0.866
seafood	lobster	0.87
furnace	stove	0.879
boy	lad	0.883
asylum	madhouse	0.887
street	avenue	0.888
car	automobile	0.894
gem	jewel	0.896
type	kind	0.897
magician	wizard	0.902
football	soccer	0.903
money	currency	0.904
coast	shore	0.91
money	cash	0.915
dollar	buck	0.922
midday	noon	0.929
journey	voyage	0.929
fuck	sex	0.944
tiger	tiger	1
